Doc ID,Stage,Text Output,Cumulative Confidence 1,Cumulative Confidence 2,Cumulative Confidence 3,Cumulative Confidence 4,Cumulative Confidence 5,Cumulative Confidence 6,Cumulative Confidence 7,Cumulative Confidence 8,Cumulative Confidence 9,Cumulative Confidence 10
"(823,)",Stage 0,['B'],"tensor(0.3434, device='cuda:0')","tensor(0.3433, device='cuda:0')"
"(823,)",Stage 1,['B'],"tensor(0.3278, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3277, device='cuda:0', grad_fn=<ExpBackward0>)"
"(823,)",Stage 2,['B'],"tensor(0.2983, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.2981, device='cuda:0', grad_fn=<ExpBackward0>)"
"(823,)",Stage 3,['B'],"tensor(0.3049, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3046, device='cuda:0', grad_fn=<ExpBackward0>)"
"(786,)",Stage 0,['B'],"tensor(0.3366, device='cuda:0')","tensor(0.3360, device='cuda:0')"
"(786,)",Stage 1,['A'],"tensor(0.3191, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3188, device='cuda:0', grad_fn=<ExpBackward0>)"
"(786,)",Stage 2,['A'],"tensor(0.3255, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3254, device='cuda:0', grad_fn=<ExpBackward0>)"
"(786,)",Stage 3,['A'],"tensor(0.3352, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3352, device='cuda:0', grad_fn=<ExpBackward0>)"
"(868,)",Stage 0,['B'],"tensor(0.4973, device='cuda:0')","tensor(0.4973, device='cuda:0')"
"(868,)",Stage 1,['B'],"tensor(0.4579, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4579, device='cuda:0', grad_fn=<ExpBackward0>)"
"(868,)",Stage 2,['A'],"tensor(0.5735, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.5734, device='cuda:0', grad_fn=<ExpBackward0>)"
"(868,)",Stage 3,['A'],"tensor(0.4728, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4727, device='cuda:0', grad_fn=<ExpBackward0>)"
"(1277,)",Stage 0,['B'],"tensor(0.4584, device='cuda:0')","tensor(0.4581, device='cuda:0')"
"(1277,)",Stage 1,['B'],"tensor(0.3700, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3697, device='cuda:0', grad_fn=<ExpBackward0>)"
"(1277,)",Stage 2,['B'],"tensor(0.3374, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3372, device='cuda:0', grad_fn=<ExpBackward0>)"
"(1277,)",Stage 3,['B'],"tensor(0.2885, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.2884, device='cuda:0', grad_fn=<ExpBackward0>)"
"(880,)",Stage 0,['A'],"tensor(0.3345, device='cuda:0')","tensor(0.3337, device='cuda:0')"
"(880,)",Stage 1,['A'],"tensor(0.3637, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.3633, device='cuda:0', grad_fn=<ExpBackward0>)"
