Doc ID,Stage,Text Output,Cumulative Confidence 1,Cumulative Confidence 2,Cumulative Confidence 3,Cumulative Confidence 4,Cumulative Confidence 5,Cumulative Confidence 6,Cumulative Confidence 7,Cumulative Confidence 8,Cumulative Confidence 9,Cumulative Confidence 10
"(88,)",Stage 0,['No'],"tensor(0.7371, device='cuda:3')","tensor(0.7371, device='cuda:3')"
"(88,)",Stage 1,['Yes'],"tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 2,['Yes'],"tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 3,['Yes'],"tensor(0.9861, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9861, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 0,['Yes'],"tensor(0.9861, device='cuda:3')","tensor(0.9861, device='cuda:3')"
"(88,)",Stage 1,['Yes'],"tensor(0.9863, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9863, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 2,['Yes'],"tensor(0.9857, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9857, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 0,['No'],"tensor(0.7371, device='cuda:3')","tensor(0.7371, device='cuda:3')"
"(88,)",Stage 1,['Yes'],"tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 2,['Yes'],"tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 3,['Yes'],"tensor(0.9861, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9861, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 0,['No'],"tensor(0.7371, device='cuda:3')","tensor(0.7371, device='cuda:3')"
"(88,)",Stage 1,['Yes'],"tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 2,['Yes'],"tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 3,['Yes'],"tensor(0.9855, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9855, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 0,['No'],"tensor(0.7371, device='cuda:3')","tensor(0.7371, device='cuda:3')"
"(88,)",Stage 1,['Yes'],"tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.6926, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 2,['Yes'],"tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9780, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 3,['Yes'],"tensor(0.9831, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9830, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 0,['No'],"tensor(0.7401, device='cuda:3')","tensor(0.7401, device='cuda:3')"
"(406,)",Stage 1,['Yes'],"tensor(0.5659, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.5659, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 2,['Yes'],"tensor(0.9098, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9098, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 3,['Yes'],"tensor(0.9353, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9353, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 0,['No'],"tensor(0.7401, device='cuda:3')","tensor(0.7401, device='cuda:3')"
"(406,)",Stage 1,['Yes'],"tensor(0.5659, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.5659, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 2,['Yes'],"tensor(0.9032, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9032, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 3,['Yes'],"tensor(0.9407, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9407, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 0,['No'],"tensor(0.7401, device='cuda:3')","tensor(0.7401, device='cuda:3')"
"(406,)",Stage 1,['Yes'],"tensor(0.5659, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.5659, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 2,['Yes'],"tensor(0.9032, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9032, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 3,['Yes'],"tensor(0.9407, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9407, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 0,['No'],"tensor(0.6992, device='cuda:3')","tensor(0.6992, device='cuda:3')"
"(514,)",Stage 1,['Yes'],"tensor(0.9441, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9441, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 2,['Yes'],"tensor(0.9728, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9728, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 3,['Yes'],"tensor(0.9664, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9663, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 0,['No'],"tensor(0.6992, device='cuda:3')","tensor(0.6992, device='cuda:3')"
"(514,)",Stage 1,['Yes'],"tensor(0.9441, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9441, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 2,['Yes'],"tensor(0.9728, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9728, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 3,['Yes'],"tensor(0.9664, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9663, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 0,['No'],"tensor(0.6992, device='cuda:3')","tensor(0.6992, device='cuda:3')"
"(514,)",Stage 1,['Yes'],"tensor(0.9457, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9457, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 2,['Yes'],"tensor(0.9732, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9732, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 3,['Yes'],"tensor(0.9637, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9637, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 0,['No'],"tensor(0.6370, device='cuda:3')","tensor(0.6370, device='cuda:3')"
"(784,)",Stage 1,['No'],"tensor(0.5156, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.5155, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 2,['Yes'],"tensor(0.9659, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9658, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 3,['Yes'],"tensor(0.9857, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9857, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 0,['No'],"tensor(0.6370, device='cuda:3')","tensor(0.6370, device='cuda:3')"
"(784,)",Stage 1,['No'],"tensor(0.5156, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.5155, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 2,['Yes'],"tensor(0.9659, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9658, device='cuda:3', grad_fn=<ExpBackward0>)"
