Doc ID,Stage,Text Output,Cumulative Confidence 1,Cumulative Confidence 2,Cumulative Confidence 3,Cumulative Confidence 4,Cumulative Confidence 5,Cumulative Confidence 6,Cumulative Confidence 7,Cumulative Confidence 8,Cumulative Confidence 9,Cumulative Confidence 10
"(88,)",Stage 0,['No'],"tensor(0.7371, device='cuda:3')","tensor(0.7371, device='cuda:3')"
"(88,)",Stage 1,['Yes'],"tensor(0.7799, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.7799, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 2,['Yes'],"tensor(0.9841, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9841, device='cuda:3', grad_fn=<ExpBackward0>)"
"(88,)",Stage 3,['Yes'],"tensor(0.9872, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9871, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 0,['No'],"tensor(0.7401, device='cuda:3')","tensor(0.7401, device='cuda:3')"
"(406,)",Stage 1,['Yes'],"tensor(0.6333, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.6333, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 2,['Yes'],"tensor(0.9693, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9693, device='cuda:3', grad_fn=<ExpBackward0>)"
"(406,)",Stage 3,['Yes'],"tensor(0.9546, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9546, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 0,['No'],"tensor(0.6992, device='cuda:3')","tensor(0.6992, device='cuda:3')"
"(514,)",Stage 1,['Yes'],"tensor(0.9626, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9626, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 2,['Yes'],"tensor(0.9938, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9938, device='cuda:3', grad_fn=<ExpBackward0>)"
"(514,)",Stage 3,['Yes'],"tensor(0.9954, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9954, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 0,['No'],"tensor(0.6370, device='cuda:3')","tensor(0.6370, device='cuda:3')"
"(784,)",Stage 1,['No'],"tensor(0.5774, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.5774, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 2,['Yes'],"tensor(0.9901, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9901, device='cuda:3', grad_fn=<ExpBackward0>)"
"(784,)",Stage 3,['Yes'],"tensor(0.9838, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9838, device='cuda:3', grad_fn=<ExpBackward0>)"
"(874,)",Stage 0,['No'],"tensor(0.7878, device='cuda:3')","tensor(0.7878, device='cuda:3')"
"(874,)",Stage 1,['Yes'],"tensor(0.8723, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.8723, device='cuda:3', grad_fn=<ExpBackward0>)"
"(874,)",Stage 2,['Yes'],"tensor(0.8902, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.8901, device='cuda:3', grad_fn=<ExpBackward0>)"
"(874,)",Stage 3,['Yes'],"tensor(0.9647, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9647, device='cuda:3', grad_fn=<ExpBackward0>)"
"(1798,)",Stage 0,['No'],"tensor(0.7461, device='cuda:3')","tensor(0.7460, device='cuda:3')"
"(1798,)",Stage 1,['Yes'],"tensor(0.9005, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9004, device='cuda:3', grad_fn=<ExpBackward0>)"
"(1798,)",Stage 2,['Yes'],"tensor(0.9921, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9921, device='cuda:3', grad_fn=<ExpBackward0>)"
"(1798,)",Stage 3,['Yes'],"tensor(0.9980, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9979, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2350,)",Stage 0,['No'],"tensor(0.7799, device='cuda:3')","tensor(0.7799, device='cuda:3')"
"(2350,)",Stage 1,['No'],"tensor(0.8006, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.8006, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2350,)",Stage 2,['Yes'],"tensor(0.9896, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9896, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2350,)",Stage 3,['Yes'],"tensor(0.9895, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9895, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2398,)",Stage 0,['Yes'],"tensor(0.5038, device='cuda:3')","tensor(0.5038, device='cuda:3')"
"(2398,)",Stage 1,['Yes'],"tensor(0.9148, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9148, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2398,)",Stage 2,['Yes'],"tensor(0.9923, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9923, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2398,)",Stage 3,['Yes'],"tensor(0.9814, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9814, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2650,)",Stage 0,['No'],"tensor(0.7121, device='cuda:3')","tensor(0.7121, device='cuda:3')"
"(2650,)",Stage 1,['Yes'],"tensor(0.9433, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9433, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2650,)",Stage 2,['Yes'],"tensor(0.9877, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9877, device='cuda:3', grad_fn=<ExpBackward0>)"
"(2650,)",Stage 3,['Yes'],"tensor(0.9943, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9943, device='cuda:3', grad_fn=<ExpBackward0>)"
"(358,)",Stage 0,['No'],"tensor(0.8947, device='cuda:3')","tensor(0.8947, device='cuda:3')"
"(358,)",Stage 1,['No'],"tensor(0.9294, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9294, device='cuda:3', grad_fn=<ExpBackward0>)"
"(358,)",Stage 2,['No'],"tensor(0.6992, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.6991, device='cuda:3', grad_fn=<ExpBackward0>)"
"(358,)",Stage 3,['No'],"tensor(0.7310, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.7310, device='cuda:3', grad_fn=<ExpBackward0>)"
"(388,)",Stage 0,['No'],"tensor(0.8289, device='cuda:3')","tensor(0.8288, device='cuda:3')"
"(388,)",Stage 1,['Yes'],"tensor(0.9566, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9565, device='cuda:3', grad_fn=<ExpBackward0>)"
"(388,)",Stage 2,['Yes'],"tensor(0.9963, device='cuda:3', grad_fn=<ExpBackward0>)","tensor(0.9963, device='cuda:3', grad_fn=<ExpBackward0>)"
