Doc ID,Stage,Text Output,Cumulative Confidence 1,Cumulative Confidence 2,Cumulative Confidence 3,Cumulative Confidence 4,Cumulative Confidence 5,Cumulative Confidence 6,Cumulative Confidence 7,Cumulative Confidence 8,Cumulative Confidence 9,Cumulative Confidence 10
"(246,)",Stage 0,['C'],"tensor(0.9723, device='cuda:0')","tensor(0.9678, device='cuda:0')"
"(246,)",Stage 1,['C'],"tensor(0.9902, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.9867, device='cuda:0', grad_fn=<ExpBackward0>)"
"(246,)",Stage 2,['C'],"tensor(0.9861, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.9836, device='cuda:0', grad_fn=<ExpBackward0>)"
"(246,)",Stage 3,['C'],"tensor(0.9778, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.9762, device='cuda:0', grad_fn=<ExpBackward0>)"
"(536,)",Stage 0,['A'],"tensor(0.8183, device='cuda:0')","tensor(0.8146, device='cuda:0')"
"(536,)",Stage 1,['A'],"tensor(0.9319, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.9273, device='cuda:0', grad_fn=<ExpBackward0>)"
"(536,)",Stage 2,['A'],"tensor(0.9457, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.9420, device='cuda:0', grad_fn=<ExpBackward0>)"
"(536,)",Stage 3,['A'],"tensor(0.9295, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.9270, device='cuda:0', grad_fn=<ExpBackward0>)"
"(66,)",Stage 0,['A'],"tensor(0.3968, device='cuda:0')","tensor(0.3955, device='cuda:0')"
"(66,)",Stage 1,['A'],"tensor(0.4595, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4590, device='cuda:0', grad_fn=<ExpBackward0>)"
"(66,)",Stage 2,['B'],"tensor(0.4082, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4081, device='cuda:0', grad_fn=<ExpBackward0>)"
"(66,)",Stage 3,['B'],"tensor(0.4711, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4710, device='cuda:0', grad_fn=<ExpBackward0>)"
"(196,)",Stage 0,['B'],"tensor(0.4212, device='cuda:0')","tensor(0.4210, device='cuda:0')"
"(196,)",Stage 1,['B'],"tensor(0.4133, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4132, device='cuda:0', grad_fn=<ExpBackward0>)"
"(196,)",Stage 2,['B'],"tensor(0.4737, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4737, device='cuda:0', grad_fn=<ExpBackward0>)"
"(196,)",Stage 3,['B'],"tensor(0.4305, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.4305, device='cuda:0', grad_fn=<ExpBackward0>)"
"(414,)",Stage 0,['A'],"tensor(0.4184, device='cuda:0')","tensor(0.4173, device='cuda:0')"
"(414,)",Stage 1,['B'],"tensor(0.5179, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.5179, device='cuda:0', grad_fn=<ExpBackward0>)"
"(414,)",Stage 2,['B'],"tensor(0.6528, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.6528, device='cuda:0', grad_fn=<ExpBackward0>)"
"(414,)",Stage 3,['B'],"tensor(0.6450, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.6450, device='cuda:0', grad_fn=<ExpBackward0>)"
"(166,)",Stage 0,['C'],"tensor(0.5380, device='cuda:0')","tensor(0.5370, device='cuda:0')"
"(166,)",Stage 1,['C'],"tensor(0.5959, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.5957, device='cuda:0', grad_fn=<ExpBackward0>)"
"(166,)",Stage 2,['C'],"tensor(0.5522, device='cuda:0', grad_fn=<ExpBackward0>)","tensor(0.5520, device='cuda:0', grad_fn=<ExpBackward0>)"
